0 , 0 , 0 , 0 , 0 , 
778 , 67 , 82 , 82 , 93 , 
781 , 98 , 114 , 103 , 124 , 
781 , 119 , 139 , 119 , 129 , 
904 , 124 , 114 , 119 , 124 , 
1040 , 145 , 150 , 155 , 150 , 
1043 , 145 , 134 , 145 , 139 , 
981 , 114 , 145 , 114 , 129 , 
709 , 103 , 119 , 103 , 119 , 
730 , 88 , 98 , 82 , 93 , 
738 , 93 , 108 , 98 , 114 , 
735 , 114 , 129 , 108 , 129 , 
735 , 93 , 108 , 93 , 108 , 
735 , 108 , 124 , 114 , 124 , 
735 , 98 , 108 , 93 , 103 , 
735 , 93 , 108 , 93 , 114 , 
735 , 93 , 103 , 82 , 93 , 
735 , 62 , 77 , 67 , 72 , 
735 , 72 , 77 , 67 , 82 , 
735 , 82 , 93 , 82 , 93 , 
735 , 72 , 88 , 72 , 82 , 
